,ingredient,VV,
0,7,13,20
1,21,24,45
2,10,17,27
3,14,20,34
4,16,57,73
5,15,53,68
6,12,7,19
7,19,21,40
8,15,25,40
9,16,19,35
10,13,59,72
11,14,8,22
12,12,15,27
13,30,75,105
14,9,75,84
15,17,26,43
16,6,33,39
17,13,32,45
18,6,24,30
19,17,30,47
20,13,37,50
21,18,18,36
22,16,70,86
23,13,9,22
24,5,19,24
25,14,30,44
26,7,9,16
27,10,26,36
28,10,82,92
29,5,22,27
30,18,98,116
31,33,37,70
32,8,49,57
33,16,34,50
34,7,153,160
35,17,47,64
36,11,15,26
37,21,59,80
38,12,58,70
39,17,23,40
40,10,59,69
41,14,32,46
42,17,24,41
43,13,40,53
44,5,17,22
45,15,54,69
46,12,21,33
47,17,60,77
48,7,48,55
49,9,36,45
50,10,17,27
51,19,30,49
52,10,48,58
53,19,21,40
54,21,48,69
55,11,33,44
56,13,46,59
57,19,43,62
58,14,61,75
59,16,22,38
60,10,43,53
61,10,91,101
62,17,31,48
63,17,40,57
64,11,36,47
65,11,85,96
66,19,28,47
67,11,43,54
68,16,16,32
69,8,3,11
70,19,40,59
71,26,32,58
72,14,25,39
73,6,16,22
74,14,27,41
75,7,12,19
76,17,24,41
77,13,12,25
78,25,48,73
79,8,32,40
80,8,35,43
81,30,24,54
82,24,34,58
83,17,32,49
84,5,16,21
85,4,33,37
86,10,31,41
87,24,78,102
88,12,99,111
89,26,57,83
90,9,46,55
91,34,51,85
92,8,16,24
93,3,27,30
94,10,36,46
95,24,29,53
96,10,14,24
97,17,50,67
98,15,45,60
99,6,33,39
100,14,128,142
101,8,29,37
102,17,41,58
103,19,53,72
104,17,45,62
105,15,33,48
106,9,41,50
107,16,35,51
108,15,37,52
109,8,60,68
110,9,37,46
111,23,24,47
112,13,35,48
113,16,47,63
114,11,21,32
115,19,53,72
116,5,12,17
117,7,54,61
118,11,11,22
119,18,51,69
120,10,46,56
121,36,59,95
122,24,59,83
123,26,36,62
124,10,80,90
125,19,47,66
126,5,36,41
127,23,80,103
128,11,30,41
129,4,27,31
130,18,43,61
131,1,26,27
132,2,24,26
133,15,31,46
134,14,98,112
135,1,53,54
136,6,43,49
137,12,45,57
138,10,155,165
139,14,42,56
140,9,33,42
141,12,38,50
142,13,39,52
143,14,57,71
144,13,35,48
145,10,63,73
146,16,36,52
147,6,29,35
148,7,27,34
149,7,20,27
150,7,24,31
151,14,27,41
152,13,23,36
153,6,63,69
154,7,33,40
155,21,20,41
156,15,81,96
157,19,41,60
158,7,89,96
159,7,38,45
160,3,9,12
161,7,31,38
162,6,4,10
163,19,69,88
164,7,21,28
165,5,31,36
166,7,32,39
167,11,25,36
168,8,7,15
169,11,46,57
170,11,29,40
171,18,63,81
172,13,58,71
173,10,38,48
174,4,16,20
175,15,34,49
176,16,47,63
177,19,100,119
178,22,19,41
179,10,16,26
180,13,39,52
181,9,18,27
182,11,34,45
183,8,23,31
184,6,26,32
185,10,39,49
186,19,25,44
187,13,58,71
188,19,72,91
189,8,55,63
190,16,29,45
191,11,35,46
192,13,21,34
193,8,14,22
194,13,55,68
195,23,47,70
196,8,29,37
197,19,66,85
198,14,29,43
199,15,27,42
200,7,72,79
201,9,34,43
202,13,18,31
203,11,21,32
204,23,55,78
205,18,39,57
206,15,60,75
207,20,56,76
208,25,44,69
209,25,52,77
210,17,60,77
211,13,15,28
212,21,30,51
213,9,33,42
214,6,19,25
215,8,53,61
216,31,26,57
217,23,33,56
218,21,41,62
219,12,17,29
220,12,22,34
221,10,45,55
222,12,65,77
223,10,44,54
224,12,25,37
225,20,32,52
226,11,23,34
227,22,14,36
228,8,30,38
229,4,3,7
230,9,10,19
231,10,29,39
232,8,5,13
233,10,17,27
234,12,18,30
235,14,10,24
236,8,9,17
237,16,21,37
238,16,56,72
239,17,39,56
240,12,29,41
241,15,49,64
242,25,45,70
243,14,10,24
244,15,11,26
245,25,87,112
246,17,28,45
247,18,21,39
248,20,65,85
249,11,49,60
250,20,87,107
251,17,33,50
252,15,33,48
253,13,46,59
254,13,38,51
255,13,25,38
256,16,24,40
257,17,21,38
258,32,30,62
259,21,9,30
260,8,9,17
261,13,27,40
262,8,11,19
263,17,10,27
264,59,15,74
265,3,20,23
266,10,12,22
267,15,23,38
268,7,16,23
269,5,21,26
270,7,26,33
271,7,14,21
272,11,10,21
273,7,10,17
274,19,37,56
275,7,36,43
276,21,29,50
277,26,31,57
278,24,20,44
279,27,40,67
280,16,21,37
281,20,40,60
282,25,44,69
283,19,35,54
284,17,23,40
285,16,46,62
286,9,11,20
287,14,83,97
288,22,59,81
289,22,42,64
290,14,17,31
291,11,2,13
292,11,41,52
293,11,28,39
294,19,8,27
295,11,21,32
296,12,17,29
297,9,11,20
298,19,12,31
299,11,17,28
300,19,11,30
301,17,10,27
302,9,20,29
303,9,15,24
304,11,19,30
305,17,9,26
306,8,9,17
307,9,10,19
308,9,34,43
309,13,20,33
310,12,19,31
311,9,15,24
312,9,38,47
313,14,34,48
314,8,30,38
315,15,52,67
316,10,55,65
317,25,62,87
318,8,15,23
319,12,19,31
320,16,63,79
321,9,25,34
322,9,38,47
323,15,30,45
324,21,22,43
325,28,76,104
326,21,68,89
327,17,72,89
328,9,20,29
329,12,31,43
330,8,25,33
331,16,15,31
332,19,47,66
333,24,37,61
334,18,62,80
335,11,43,54
336,8,64,72
337,27,50,77
